"","x"
"1",0.0980541216978362
"2",0.167736989115625
"3",0.0874809644866693
"4",0.165137026545705
"5",0.106472534876518
"6",0.142405970088595
"7",0.0985768022741589
"8",0.129647086332861
"9",0.109497845852132
"10",0.115887315524961
"11",0.128934747056678
"12",0.12694200828547
"13",0.105291430367104
"14",0.108430857583012
"15",0.132790879105007
"16",0.0837372132862217
"17",0.14793676678645
"18",0.0797145334004795
"19",0.08019207819768
"20",0.142297634903674
"21",0.137384096021355
"22",0.215110864094815
"23",0.10471575912737
"24",0.168434566562029
"25",0.115141221179396
"26",0.1105011266025
"27",0.110469820435038
"28",0.108187827912387
"29",0.17297638384632
"30",0.119837885483452
"31",0.119976133508413
"32",0.120205066500496
"33",0.118754535117838
"34",0.1214953476123
"35",0.106209850415314
"36",0.130611577872784
"37",0.10423043281335
"38",0.110798697896417
"39",0.102102774767053
"40",0.0918270428813301
"41",0.135135334084875
"42",0.119945088616614
"43",0.112712335984115
"44",0.174625123477861
"45",0.153231122406083
"46",0.169605275366392
"47",0.106002944897797
"48",0.108989445054488
"49",0.1319603785006
"50",0.0950512019803192
"51",0.139511045525128
"52",0.0859579857994768
"53",0.161177207693227
"54",0.130025437408942
"55",0.113613412649936
"56",0.237028080582834
"57",0.0987674576821575
"58",0.202145907446257
"59",0.134946349506943
"60",0.0966847971116523
"61",0.126280601296053
"62",0.086039030033848
"63",0.204994120366261
"64",0.0896083579246704
"65",0.117040901916873
"66",0.140429209379988
"67",0.141796156960971
"68",0.0945997914662712
"69",0.130716311978096
"70",0.142421914074511
"71",0.0896363554780147
"72",0.110608885303243
"73",0.0860823717471718
"74",0.219471292040097
"75",0.127383868597921
"76",0.134679975960096
"77",0.148442949300633
"78",0.146830846718995
"79",0.102458459679206
"80",0.125381074900475
"81",0.0904145111019086
"82",0.0884845930323789
"83",0.111729887527797
"84",0.122006143351439
"85",0.118084924936372
"86",0.118209849729828
"87",0.120466960087838
"88",0.14652078328432
"89",0.0862502380299983
"90",0.0986491218535248
"91",0.10106509581385
"92",0.104887189684461
"93",0.121949897346838
"94",0.11482069210804
"95",0.0938790753098522
"96",0.114913407657745
"97",0.109019573227878
"98",0.110091748174683
"99",0.121671573586774
"100",0.103465358834178
"101",0.115672710424233
"102",0.118976609363874
"103",0.115155539890334
"104",0.11505982111885
"105",0.107798691541258
