"","x"
"1",-0.122289623693794
"2",-0.0917879168769324
"3",0.0540058278487356
"4",0.38834561724276
"5",-0.311174206595615
"6",0.0975922211216559
"7",-0.125289102256747
"8",-0.0447357872717571
"9",0.00536909276868953
"10",0.0808232282426497
"11",-0.124149991151685
"12",-0.769837648140069
"13",-0.0605822468461825
"14",0.130222404095172
"15",0.103420618260245
"16",-0.109443666856126
"17",0.101274717333379
"18",0.0534675262235687
"19",-0.105577385031849
"20",0.274916676131281
"21",-0.10127627305822
"22",-0.381772015248194
"23",-0.0213939631268739
"24",0.112813703649774
"25",-0.050685771653905
"26",-0.00894316752513495
"27",0.0447890302769343
"28",0.113114798275878
"29",0.0179368324034931
"30",0.182754403271829
"31",-0.0930620824682983
"32",0.0460903247484429
"33",0.0829706917195374
"34",-0.185384886141046
"35",0.0112431267046151
"36",-0.279150250927019
"37",0.0855604206242435
"38",0.389502273629188
"39",-0.022959806041671
"40",0.0296693119825522
"41",-0.139448329514862
"42",-0.0546183971223809
"43",0.0451342904946855
"44",-0.0963489037805128
"45",-0.194623562427943
"46",0.207469810198707
"47",-0.167072007963453
"48",-0.140891217947154
"49",0.16613639597523
"50",0.0154435100384693
"51",0.139974962949554
"52",-0.205799816597233
"53",-0.121524844092417
"54",0.00272511457566823
"55",-0.107475141480079
"56",0.394086965893589
"57",-0.110942020957913
"58",0.0854568817162227
"59",0.269397592246432
"60",0.00585749579967447
"61",0.0959973692635022
"62",-0.14800860101538
"63",-0.125918332363782
"64",0.0736269481334495
"65",-0.0904385775144771
"66",-0.292111129647555
"67",0.259216959591754
"68",-0.200828464697062
"69",-0.0554562626821358
"70",-0.147452324559641
"71",-0.1477571074401
"72",0.0863602352179791
"73",-0.265720564205715
"74",-0.399465846523956
"75",-0.174341505595775
"76",-0.0108732567024192
"77",0.268405908502481
"78",0.137331720915413
"79",-0.172933049781054
"80",-0.123073373332603
"81",-0.0166901755529845
"82",-0.148481592525742
"83",0.14980077492425
"84",0.141948936075123
"85",0.26525192139658
"86",0.155516487965301
"87",-0.114030019711482
"88",0.050541620586793
"89",-0.105954100298441
"90",0.0578524202028325
"91",-0.147169474679819
"92",-0.0210280269680347
"93",-0.0936337843613865
"94",0.0797457295868593
"95",-0.14218145267583
"96",-0.174982876176852
"97",0.0818439768903225
"98",0.153208484515041
"99",-0.00632292107158795
"100",0.173876062174846
"101",-0.24606235709567
"102",-0.229841544861258
"103",0.254677532770287
"104",-0.118255249473151
"105",0.288342414902554
